"Month","WeekOfMonth","DayOfWeek","Make","AccidentArea","DayOfWeekClaimed","MonthClaimed","WeekOfMonthClaimed","Sex","MaritalStatus","Age","Fault","PolicyType","VehicleCategory","VehiclePrice","FraudFound_P","PolicyNumber","RepNumber","Deductible","DriverRating","Days_Policy_Accident","Days_Policy_Claim","PastNumberOfClaims","AgeOfVehicle","AgeOfPolicyHolder","PoliceReportFiled","WitnessPresent","AgentType","NumberOfSuppliments","AddressChange_Claim","NumberOfCars","Year","BasePolicy","ClaimSize"
"Aug","2","Thursday","Toyota","Urban","Friday","Aug","2","Male","Single","24","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","7590","10","400","3","more than 30","more than 30","1","5 years","26 to 30","No","No","External","more than 5","no change","1 vehicle","1995","Collision","1916.4358744416"
"Jul","4","Wednesday","Chevrolet","Rural","Tuesday","Aug","1","Male","Married","54","Third Party","Sedan - Collision","Sedan","more than 69000","0","7591","15","400","1","more than 30","more than 30","none","more than 7","41 to 50","No","No","External","none","no change","1 vehicle","1995","Collision","55309.920735074"
"Jul","2","Saturday","Honda","Urban","Tuesday","Jul","3","Male","Married","44","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","7592","1","400","4","more than 30","more than 30","1","7 years","36 to 40","No","No","External","none","no change","1 vehicle","1995","Liability","2670.7116109871"
"Jun","5","Wednesday","Pontiac","Rural","Monday","Jul","1","Male","Married","39","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","7593","9","400","3","more than 30","more than 30","none","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle","1995","Collision","4935.2197620173"
"Jun","4","Saturday","Honda","Urban","Monday","Jul","2","Male","Married","44","Policy Holder","Sedan - All Perils","Sedan","20000 to 29000","0","7595","14","400","1","more than 30","more than 30","none","more than 7","36 to 40","No","No","External","none","no change","1 vehicle","1995","All Perils","5664.5620658301"
"Jun","3","Sunday","Toyota","Urban","Thursday","Jun","5","Female","Married","41","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","7596","10","400","2","more than 30","more than 30","2 to 4","2 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle","1995","Collision","9595.9539376596"
"Jun","3","Friday","Accura","Urban","Tuesday","Jul","1","Male","Single","55","Policy Holder","Sedan - Liability","Sport","more than 69000","0","7597","4","400","2","more than 30","more than 30","more than 4","7 years","41 to 50","No","No","External","more than 5","no change","1 vehicle","1995","Liability","84577.134723372"
"Jun","2","Friday","Mazda","Urban","Monday","Jun","2","Female","Single","26","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","7598","10","400","1","more than 30","more than 30","1","5 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1995","Collision","5894.5946822272"
"May","5","Saturday","Pontiac","Urban","Wednesday","Jun","1","Male","Married","64","Policy Holder","Sedan - All Perils","Sedan","30000 to 39000","0","7599","11","400","1","more than 30","more than 30","none","6 years","51 to 65","No","No","External","none","no change","1 vehicle","1995","All Perils","5160.0846919002"
"May","2","Friday","Mazda","Urban","Monday","May","3","Female","Married","48","Policy Holder","Sedan - Liability","Sport","30000 to 39000","0","7600","9","500","1","more than 30","more than 30","2 to 4","7 years","41 to 50","No","No","External","none","2 to 3 years","1 vehicle","1995","Liability","62863.490761382"
"May","3","Saturday","Pontiac","Urban","Monday","May","3","Male","Married","60","Policy Holder","Sedan - Collision","Sedan","more than 69000","0","7601","11","400","1","more than 30","more than 30","none","more than 7","51 to 65","No","No","External","3 to 5","no change","1 vehicle","1995","Collision","57166.760953688"
"Apr","4","Tuesday","Pontiac","Urban","Friday","Apr","5","Male","Married","27","Policy Holder","Sedan - All Perils","Sedan","less than 20000","0","7604","3","400","4","more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle","1995","All Perils","5121.0984976556"
"Apr","4","Saturday","Mazda","Urban","Monday","Apr","4","Male","Married","30","Policy Holder","Sedan - Collision","Sedan","more than 69000","0","7605","4","400","4","more than 30","more than 30","1","7 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Collision","59747.549439156"
"Apr","2","Thursday","Pontiac","Urban","Thursday","Apr","3","Male","Single","42","Policy Holder","Utility - All Perils","Utility","40000 to 59000","0","7608","4","400","1","more than 30","more than 30","more than 4","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle","1995","All Perils","54340.812032397"
"Apr","1","Tuesday","Toyota","Urban","Friday","Apr","2","Male","Married","26","Policy Holder","Sedan - All Perils","Sedan","20000 to 29000","0","7609","13","400","4","more than 30","more than 30","1","7 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","All Perils","3225.8405374987"
"Mar","5","Tuesday","Toyota","Urban","Wednesday","Apr","1","Female","Single","29","Policy Holder","Sedan - All Perils","Sedan","less than 20000","0","7610","4","400","1","more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","All Perils","4970.4387955749"
"Mar","5","Monday","Chevrolet","Urban","Monday","Mar","5","Male","Married","55","Third Party","Sedan - Liability","Sport","30000 to 39000","0","7611","14","400","2","more than 30","more than 30","more than 4","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle","1995","Liability","61120.602380133"
"Oct","5","Monday","Mazda","Rural","Wednesday","Nov","1","Male","Married","46","Policy Holder","Sedan - All Perils","Sedan","less than 20000","1","7612","16","400","1","more than 30","more than 30","2 to 4","7 years","41 to 50","No","No","External","more than 5","no change","1 vehicle","1995","All Perils","3241.7022561044"
"Dec","4","Thursday","Pontiac","Urban","Friday","Jan","5","Male","Married","50","Policy Holder","Sedan - Liability","Sport","30000 to 39000","0","7613","4","400","4","more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","none","no change","1 vehicle","1995","Liability","19894.02867497"
"May","2","Wednesday","Honda","Rural","Friday","May","3","Male","Single","0","Policy Holder","Sedan - Liability","Sport","more than 69000","0","7614","14","400","1","more than 30","more than 30","2 to 4","new","16 to 17","Yes","No","External","none","no change","1 vehicle","1995","Liability","62194.123254273"
"Aug","1","Thursday","Toyota","Rural","Wednesday","Aug","2","Male","Married","21","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","7615","1","400","3","more than 30","more than 30","none","5 years","26 to 30","No","No","External","none","no change","1 vehicle","1995","Collision","1003.9308574209"
"Nov","3","Monday","Chevrolet","Urban","Wednesday","Nov","3","Male","Single","35","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","7616","3","400","3","more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1995","Liability","1203.3616589877"
"Nov","3","Monday","Ford","Urban","Wednesday","Nov","3","Male","Married","51","Third Party","Sedan - All Perils","Sedan","30000 to 39000","0","7617","7","400","1","more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","1 to 2","no change","1 vehicle","1995","All Perils","50934.407223647"
"Aug","2","Monday","Chevrolet","Urban","Friday","Aug","2","Male","Married","62","Policy Holder","Sedan - All Perils","Sedan","30000 to 39000","0","7618","12","400","1","more than 30","more than 30","2 to 4","more than 7","51 to 65","No","No","External","1 to 2","no change","1 vehicle","1995","All Perils","79469.220032727"
"Oct","5","Monday","Mazda","Urban","Monday","Oct","5","Male","Married","65","Policy Holder","Sedan - Liability","Sport","more than 69000","0","7620","1","400","2","more than 30","more than 30","more than 4","more than 7","51 to 65","No","No","External","none","no change","1 vehicle","1995","Liability","73469.011455616"
"Dec","3","Friday","Toyota","Urban","Friday","Dec","3","Male","Single","29","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","7621","3","400","4","more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Liability","1680.0581364541"
"Nov","4","Monday","Mazda","Urban","Monday","Nov","4","Male","Married","63","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","7622","4","400","3","more than 30","more than 30","2 to 4","more than 7","51 to 65","No","No","External","none","no change","1 vehicle","1995","Collision","5157.8095267485"
"Jul","3","Friday","Ford","Rural","Wednesday","Jul","4","Male","Married","60","Policy Holder","Sedan - Liability","Sport","60000 to 69000","0","7624","16","400","1","more than 30","more than 30","2 to 4","more than 7","51 to 65","No","No","External","more than 5","4 to 8 years","2 vehicles","1995","Liability","84229.617966422"
"Oct","5","Monday","Honda","Urban","Thursday","Nov","3","Male","Single","19","Third Party","Sport - Collision","Sport","more than 69000","0","7625","14","400","1","more than 30","more than 30","none","3 years","21 to 25","No","No","External","none","no change","1 vehicle","1995","Collision","50509.016565977"
"Aug","1","Wednesday","Mazda","Urban","Wednesday","Aug","3","Female","Single","34","Policy Holder","Sedan - All Perils","Sedan","less than 20000","0","7626","14","400","1","more than 30","more than 30","1","3 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1995","All Perils","827.57659205736"
"Aug","5","Tuesday","Mazda","Urban","Monday","Sep","1","Female","Married","53","Policy Holder","Sedan - Liability","Sport","30000 to 39000","0","7628","13","400","2","more than 30","more than 30","2 to 4","7 years","41 to 50","No","No","External","none","no change","1 vehicle","1995","Liability","51716.570768549"
"Jul","4","Saturday","Toyota","Urban","Thursday","Aug","2","Male","Married","63","Third Party","Sedan - Collision","Sedan","20000 to 29000","0","7629","12","400","3","more than 30","more than 30","more than 4","7 years","51 to 65","No","No","External","more than 5","no change","1 vehicle","1995","Collision","27635.598750316"
"Jul","3","Tuesday","Toyota","Urban","Friday","Jul","4","Male","Married","52","Policy Holder","Sedan - All Perils","Sedan","30000 to 39000","0","7630","15","400","3","more than 30","more than 30","1","more than 7","41 to 50","No","No","External","1 to 2","no change","1 vehicle","1995","All Perils","13534.625076011"
"Oct","3","Sunday","Honda","Urban","Monday","Oct","3","Female","Single","28","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","7631","11","400","4","more than 30","more than 30","2 to 4","5 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1995","Collision","3601.5043818004"
"Sep","1","Friday","Pontiac","Urban","Monday","Sep","1","Male","Married","53","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","7632","15","400","4","more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","1 to 2","no change","1 vehicle","1995","Liability","9836.8776504078"
"Jan","3","Tuesday","Honda","Urban","Wednesday","Jan","3","Male","Single","0","Policy Holder","Sedan - Liability","Sport","more than 69000","0","7635","15","400","1","more than 30","more than 30","2 to 4","new","16 to 17","No","No","External","none","no change","1 vehicle","1995","Liability","51406.000740418"
"Oct","1","Thursday","Toyota","Urban","Thursday","Oct","1","Male","Married","61","Policy Holder","Sedan - Collision","Sedan","more than 69000","0","7637","1","400","1","more than 30","more than 30","1","more than 7","51 to 65","No","No","External","none","no change","1 vehicle","1995","Collision","85555.916235606"
"Dec","1","Friday","Toyota","Urban","Monday","Dec","1","Male","Married","49","Third Party","Sedan - Collision","Sedan","20000 to 29000","0","7638","8","400","4","more than 30","more than 30","none","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle","1995","Collision","890.2492081849"
"Nov","3","Wednesday","Toyota","Urban","Monday","Jan","2","Male","Married","54","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","7639","10","400","4","more than 30","more than 30","2 to 4","7 years","41 to 50","No","No","External","more than 5","no change","1 vehicle","1995","Collision","5341.5852277906"
"Jan","4","Saturday","Toyota","Urban","Thursday","Feb","3","Male","Single","24","Policy Holder","Sedan - All Perils","Sedan","20000 to 29000","0","7641","4","400","1","more than 30","more than 30","none","5 years","26 to 30","No","No","External","none","no change","1 vehicle","1995","All Perils","5086.0252437941"
"Mar","2","Thursday","Toyota","Urban","Tuesday","Mar","3","Male","Married","68","Third Party","Sedan - All Perils","Sedan","less than 20000","0","7642","4","400","1","more than 30","more than 30","none","more than 7","over 65","No","No","External","3 to 5","no change","1 vehicle","1995","All Perils","5383.5041826929"
"Feb","5","Monday","Pontiac","Urban","Monday","Feb","5","Male","Single","23","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","7643","1","400","2","more than 30","more than 30","more than 4","5 years","26 to 30","No","No","External","more than 5","no change","1 vehicle","1995","Liability","19546.081280713"
"Apr","2","Monday","Toyota","Urban","Monday","May","4","Male","Single","27","Policy Holder","Sedan - Liability","Sport","30000 to 39000","0","7644","1","400","1","more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Liability","69127.721281097"
"Apr","2","Monday","Honda","Urban","Monday","Apr","3","Female","Single","32","Policy Holder","Sedan - All Perils","Sedan","less than 20000","0","7645","5","400","2","more than 30","more than 30","1","6 years","31 to 35","No","No","External","none","1 year","2 vehicles","1995","All Perils","9830.1500203593"
"Jun","5","Thursday","Chevrolet","Urban","Wednesday","Jul","4","Male","Single","39","Policy Holder","Utility - All Perils","Utility","more than 69000","0","7647","15","400","4","more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","3 to 5","no change","1 vehicle","1995","All Perils","58488.924392072"
"Feb","3","Friday","VW","Urban","Thursday","Mar","3","Male","Single","45","Third Party","Sedan - All Perils","Sedan","more than 69000","1","7651","3","500","4","more than 30","more than 30","none","7 years","36 to 40","No","No","External","more than 5","2 to 3 years","1 vehicle","1995","All Perils","79417.328821774"
"Feb","3","Wednesday","Toyota","Urban","Thursday","Mar","3","Male","Single","31","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","7652","14","400","3","more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Liability","823.1835811692"
"Mar","3","Monday","Chevrolet","Urban","Thursday","Mar","4","Male","Married","51","Third Party","Sedan - All Perils","Sedan","30000 to 39000","0","7653","15","400","3","more than 30","more than 30","1","more than 7","41 to 50","No","No","External","none","no change","1 vehicle","1995","All Perils","31008.668771014"
"Mar","3","Wednesday","Honda","Urban","Thursday","Mar","3","Male","Married","31","Policy Holder","Sedan - Collision","Sedan","30000 to 39000","0","7654","3","400","4","more than 30","more than 30","none","6 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle","1995","Collision","2199.779431323"
"Mar","5","Thursday","Honda","Urban","Thursday","May","1","Male","Married","47","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","7656","15","400","3","more than 30","more than 30","more than 4","7 years","41 to 50","No","No","External","none","no change","1 vehicle","1995","Liability","15604.825534306"
"Jun","4","Friday","Pontiac","Urban","Friday","Jul","5","Male","Married","30","Third Party","Sedan - Collision","Sedan","20000 to 29000","0","7657","3","400","1","more than 30","more than 30","none","6 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle","1995","Collision","2081.7960702824"
"Jun","3","Tuesday","Toyota","Urban","Tuesday","Jun","3","Male","Single","28","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","7658","3","400","2","more than 30","more than 30","1","3 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Collision","8577.5404493522"
"Oct","4","Friday","Pontiac","Urban","Monday","Oct","5","Female","Married","45","Third Party","Sedan - Collision","Sedan","30000 to 39000","0","7659","2","400","2","more than 30","more than 30","none","7 years","36 to 40","No","No","External","3 to 5","no change","1 vehicle","1995","Collision","3114.7874668205"
"Nov","1","Tuesday","Accura","Rural","Wednesday","Nov","1","Male","Married","76","Policy Holder","Sedan - All Perils","Sedan","30000 to 39000","1","7660","9","400","3","more than 30","more than 30","none","more than 7","over 65","No","No","External","more than 5","no change","1 vehicle","1995","All Perils","5802.1218714277"
"Jul","1","Monday","Chevrolet","Rural","Monday","Jul","1","Male","Single","24","Policy Holder","Sedan - Collision","Sedan","30000 to 39000","0","7662","4","400","3","more than 30","more than 30","2 to 4","5 years","26 to 30","No","No","Internal","3 to 5","no change","1 vehicle","1995","Collision","38557.120791234"
"Jul","1","Tuesday","Honda","Urban","Wednesday","Jul","2","Male","Single","29","Third Party","Sedan - Collision","Sedan","30000 to 39000","0","7663","1","400","4","more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1995","Collision","12134.816995829"
"Mar","3","Monday","Mazda","Urban","Tuesday","Mar","4","Female","Married","32","Policy Holder","Sedan - Liability","Sport","30000 to 39000","0","7664","10","400","3","more than 30","more than 30","none","7 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle","1995","Liability","4149.537496175"
"Mar","2","Sunday","Honda","Urban","Tuesday","Mar","3","Male","Married","34","Policy Holder","Sedan - All Perils","Sedan","less than 20000","0","7665","13","400","3","more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","All Perils","8505.4675107862"
"Nov","1","Tuesday","Chevrolet","Urban","Wednesday","Nov","1","Female","Single","31","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","1","7666","4","400","2","more than 30","more than 30","none","5 years","31 to 35","No","No","External","1 to 2","4 to 8 years","2 vehicles","1995","Collision","2400.4733928553"
"Oct","2","Thursday","Pontiac","Urban","Wednesday","Oct","3","Male","Married","38","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","7669","14","400","4","more than 30","more than 30","1","4 years","36 to 40","No","No","External","none","no change","1 vehicle","1995","Collision","6801.0870342269"
"Sep","4","Monday","Chevrolet","Urban","Monday","Sep","4","Male","Single","24","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","7670","6","400","2","more than 30","more than 30","2 to 4","5 years","26 to 30","No","No","External","none","no change","1 vehicle","1995","Liability","7826.7355875461"
"Aug","3","Tuesday","Pontiac","Urban","Friday","Aug","3","Male","Married","46","Policy Holder","Sedan - All Perils","Sedan","less than 20000","0","7671","13","400","2","more than 30","more than 30","1","7 years","41 to 50","No","No","External","none","no change","1 vehicle","1995","All Perils","2944.8215762493"
"Jul","2","Monday","Pontiac","Urban","Wednesday","Jul","2","Male","Married","50","Third Party","Sedan - Collision","Sedan","20000 to 29000","0","7672","14","400","1","more than 30","more than 30","1","more than 7","41 to 50","No","No","External","3 to 5","no change","1 vehicle","1995","Collision","5046.391016366"
"Jun","1","Monday","Honda","Urban","Tuesday","Jun","2","Male","Single","0","Policy Holder","Sedan - Liability","Sport","more than 69000","0","7673","15","400","2","more than 30","more than 30","1","new","16 to 17","No","No","External","none","no change","1 vehicle","1995","Liability","70088.570349367"
"Apr","3","Monday","Chevrolet","Urban","Wednesday","Apr","4","Male","Married","57","Policy Holder","Utility - All Perils","Utility","more than 69000","0","7675","8","400","3","more than 30","more than 30","1","more than 7","51 to 65","No","No","External","3 to 5","no change","1 vehicle","1995","All Perils","98226.786650159"
"Apr","3","Thursday","Chevrolet","Urban","Monday","Apr","3","Male","Married","35","Policy Holder","Sedan - Collision","Sedan","30000 to 39000","0","7676","8","400","4","more than 30","more than 30","more than 4","5 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle","1995","Collision","49306.084838537"
"Apr","2","Wednesday","Toyota","Urban","Wednesday","Apr","3","Male","Single","39","Policy Holder","Sedan - Collision","Sedan","30000 to 39000","0","7677","1","400","1","more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","none","no change","1 vehicle","1995","Collision","58093.419798572"
"Apr","2","Wednesday","Accura","Urban","Friday","Apr","4","Male","Single","27","Third Party","Sedan - All Perils","Sedan","30000 to 39000","0","7678","11","400","4","more than 30","more than 30","2 to 4","6 years","31 to 35","Yes","No","External","1 to 2","no change","1 vehicle","1995","All Perils","33419.915743408"
"Feb","4","Thursday","Pontiac","Urban","Wednesday","Mar","1","Male","Married","47","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","7679","8","400","4","more than 30","more than 30","1","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle","1995","Collision","8305.6844187147"
"Jan","3","Thursday","Pontiac","Urban","Wednesday","Jan","4","Male","Married","45","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","7681","15","400","1","more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","3 to 5","no change","1 vehicle","1995","Liability","9465.8076534786"
"Apr","5","Friday","Pontiac","Urban","Tuesday","May","1","Male","Married","35","Third Party","Sedan - All Perils","Sedan","20000 to 29000","0","7682","16","400","4","more than 30","more than 30","1","7 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle","1995","All Perils","2118.5946133943"
"May","4","Monday","Pontiac","Urban","Tuesday","Jun","1","Male","Married","52","Third Party","Sedan - Collision","Sedan","30000 to 39000","0","7684","8","400","4","more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","3 to 5","no change","1 vehicle","1995","Collision","13037.886952755"
"May","4","Thursday","Pontiac","Urban","Tuesday","May","5","Male","Married","31","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","7685","5","400","3","more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1995","Collision","2429.4805360581"
"Dec","2","Saturday","Mazda","Rural","Monday","Dec","2","Female","Divorced","38","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","7686","13","400","4","more than 30","more than 30","1","7 years","36 to 40","No","No","External","none","no change","1 vehicle","1995","Collision","8201.7548530215"
"Nov","4","Wednesday","Chevrolet","Urban","Wednesday","Nov","4","Male","Single","26","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","7687","2","400","4","more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","more than 5","4 to 8 years","2 vehicles","1995","Collision","7529.2940806274"
"Nov","4","Wednesday","Pontiac","Urban","Friday","Nov","4","Female","Single","23","Third Party","Sedan - All Perils","Sedan","less than 20000","0","7688","15","400","1","more than 30","more than 30","none","5 years","26 to 30","No","No","External","more than 5","no change","1 vehicle","1995","All Perils","5264.7921502728"
"Dec","4","Friday","Mazda","Urban","Saturday","Dec","4","Female","Single","29","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","7691","7","400","4","more than 30","more than 30","none","5 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Collision","1851.6051003565"
"Nov","3","Thursday","Honda","Urban","Friday","Nov","3","Male","Single","22","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","7693","14","400","4","more than 30","more than 30","2 to 4","6 years","26 to 30","No","No","External","none","no change","1 vehicle","1995","Liability","3446.159045405"
"Nov","1","Wednesday","Honda","Urban","Friday","Nov","3","Male","Single","33","Third Party","Sedan - All Perils","Sedan","20000 to 29000","0","7694","7","400","2","more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1995","All Perils","4845.0008196855"
"Nov","3","Thursday","Pontiac","Urban","Friday","Nov","3","Male","Married","72","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","7695","2","400","1","more than 30","more than 30","more than 4","more than 7","over 65","No","No","External","1 to 2","no change","1 vehicle","1995","Liability","10205.365213203"
"Nov","3","Friday","Chevrolet","Urban","Friday","Nov","3","Male","Married","50","Third Party","Sedan - Collision","Sedan","more than 69000","0","7696","12","400","2","more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","none","no change","1 vehicle","1995","Collision","60393.596467092"
"Nov","1","Thursday","Accura","Urban","Monday","Nov","4","Male","Married","46","Policy Holder","Sedan - Collision","Sedan","more than 69000","1","7697","6","400","3","more than 30","more than 30","none","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle","1995","Collision","60355.761652968"
"Mar","2","Monday","Toyota","Urban","Tuesday","Mar","2","Male","Single","30","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","7698","14","400","1","more than 30","more than 30","1","6 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Collision","1792.0728710632"
"Apr","5","Friday","Chevrolet","Rural","Thursday","May","2","Male","Married","38","Policy Holder","Sedan - Liability","Sport","30000 to 39000","0","7699","11","400","2","more than 30","more than 30","none","more than 7","36 to 40","No","No","External","none","no change","1 vehicle","1995","Liability","6223.4231155723"
"May","1","Wednesday","Mazda","Urban","Thursday","May","1","Male","Single","33","Policy Holder","Sedan - All Perils","Sedan","30000 to 39000","0","7700","11","400","2","more than 30","more than 30","none","7 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle","1995","All Perils","1411.6966354386"
"Jun","1","Friday","Pontiac","Rural","Monday","Jun","1","Male","Married","52","Third Party","Sedan - All Perils","Sedan","20000 to 29000","0","7703","9","400","4","more than 30","more than 30","1","more than 7","41 to 50","No","No","External","none","no change","1 vehicle","1995","All Perils","3417.5974829206"
"Jul","1","Monday","Honda","Urban","Monday","Jul","1","Male","Married","69","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","7704","6","400","4","more than 30","more than 30","1","more than 7","over 65","No","No","External","more than 5","no change","1 vehicle","1995","Liability","3034.4500733267"
"Jul","1","Monday","Chevrolet","Urban","Monday","Jul","1","Female","Single","37","Policy Holder","Sedan - Liability","Sport","20000 to 29000","0","7705","9","400","4","more than 30","more than 30","more than 4","6 years","36 to 40","No","No","External","more than 5","no change","1 vehicle","1995","Liability","15420.464178947"
"Sep","3","Friday","Mazda","Urban","Friday","Sep","3","Male","Married","38","Policy Holder","Sedan - Liability","Sport","30000 to 39000","0","7707","2","400","3","more than 30","more than 30","more than 4","more than 7","36 to 40","No","No","External","3 to 5","no change","1 vehicle","1995","Liability","22866.666917363"
"Oct","1","Wednesday","Toyota","Urban","Friday","Oct","2","Male","Married","53","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","7708","7","400","3","more than 30","more than 30","1","7 years","41 to 50","No","No","External","none","4 to 8 years","2 vehicles","1995","Collision","6500.2782072009"
"Nov","2","Tuesday","Toyota","Urban","Thursday","Dec","4","Male","Married","53","Third Party","Sedan - All Perils","Sedan","less than 20000","0","7709","13","400","4","more than 30","more than 30","none","more than 7","41 to 50","No","No","External","1 to 2","no change","3 to 4","1995","All Perils","3282.4144757545"
"Nov","2","Tuesday","Honda","Rural","Thursday","Nov","3","Female","Single","37","Policy Holder","Sedan - All Perils","Sedan","20000 to 29000","0","7710","4","400","4","more than 30","more than 30","1","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle","1995","All Perils","1285.533471184"
"Nov","2","Wednesday","Mazda","Urban","Friday","Nov","3","Male","Single","29","Policy Holder","Sport - Collision","Sport","more than 69000","0","7711","4","400","3","more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Collision","50811.166934916"
"Nov","2","Friday","Honda","Urban","Friday","Nov","2","Male","Married","28","Policy Holder","Sedan - Collision","Sedan","20000 to 29000","0","7712","11","400","1","more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","none","no change","1 vehicle","1995","Collision","4939.2955666935"
"Nov","4","Tuesday","Toyota","Urban","Wednesday","Nov","4","Male","Married","48","Third Party","Sedan - Liability","Sport","40000 to 59000","0","7713","3","400","3","more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle","1995","Liability","12820.649168885"
"Dec","1","Thursday","Pontiac","Urban","Thursday","Dec","1","Male","Married","33","Third Party","Sedan - All Perils","Sedan","less than 20000","0","7714","1","400","1","more than 30","more than 30","1","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle","1995","All Perils","3918.8305410634"
"Apr","3","Tuesday","Pontiac","Rural","Wednesday","Apr","4","Male","Married","33","Policy Holder","Sedan - Collision","Sedan","40000 to 59000","0","7715","1","400","4","more than 30","more than 30","2 to 4","5 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle","1995","Collision","10858.724189115"
"May","4","Wednesday","Pontiac","Urban","Thursday","May","4","Male","Married","44","Policy Holder","Sedan - Collision","Sedan","30000 to 39000","0","7716","16","400","4","more than 30","more than 30","none","more than 7","36 to 40","No","No","External","more than 5","no change","1 vehicle","1995","Collision","9314.012990103"
